Fecha,Hora,AGU,ATM,CEN,LDO,MIR,OBL,VAL
2008-01-02,11,,,,16.000000,,,
2008-01-02,12,,,,17.000000,,,
2008-01-02,13,,,,16.000000,,,
2008-01-02,14,,,,16.000000,,,
2008-01-02,15,,,,18.000000,,,
2008-01-02,16,,,,18.000000,,,
2008-01-02,17,,,,22.000000,,,
2008-01-02,18,,,,33.000000,,,
2008-01-02,19,,,,37.000000,,,
2008-01-02,20,,,,30.000000,,,
2008-01-02,21,,,,23.000000,,,
2008-01-02,22,,,,18.000000,,,
2008-01-02,23,,,,15.000000,,,
2008-01-03,00,,,,8.000000,,,
2008-01-03,01,,,,6.000000,,,
2008-01-03,02,,,,4.000000,,,
2008-01-03,03,,,,3.000000,,,
2008-01-03,04,,,,6.000000,,,
2008-01-03,05,,,,14.000000,,,
2008-01-03,06,,,,15.000000,,,
2008-01-03,07,,,,26.000000,,,
2008-01-03,08,,,,24.000000,,,
2008-01-03,09,,,,17.000000,,,
2008-01-03,10,,,,16.000000,,,
2008-01-03,11,,,,15.000000,,,
2008-01-03,12,,,,15.000000,,,
2008-01-03,13,,,,11.000000,,,
2008-01-03,14,,,,14.000000,,,
2008-01-03,15,,,,13.000000,,,
2008-01-03,16,,,,14.000000,,,
2008-01-03,17,,,,16.000000,,,
2008-01-03,18,,,,23.000000,,,
2008-01-03,19,,,,27.000000,,,
2008-01-03,20,,,,44.000000,,,
2008-01-03,21,,,,78.000000,,,
2008-01-03,22,,,,68.000000,,,
2008-01-03,23,,,,54.000000,,,
2008-01-04,00,,,,26.000000,,,
2008-01-04,01,,,,19.000000,,,
2008-01-04,02,,,,11.000000,,,
2008-01-04,03,,,,9.000000,,,
2008-01-04,04,,,,10.000000,,,
2008-01-04,05,,,,19.000000,,,
2008-01-04,06,,,,19.000000,,,
2008-01-04,07,,,,26.000000,,,
2008-01-04,08,,,,29.000000,,,
2008-01-04,09,,,,21.000000,,,
2008-01-04,10,,,,17.000000,,,
2008-01-04,11,,,,18.000000,,,
2008-01-04,12,,,,15.000000,,,
2008-01-04,13,,,,15.000000,,,
2008-01-04,14,,,,14.000000,,,
2008-01-04,15,,,,16.000000,,,
2008-01-04,16,,,,11.000000,,,
2008-01-04,17,,,,17.000000,,,
2008-01-04,18,,,,38.000000,,,
2008-01-04,19,,,,64.000000,,,
2008-01-04,20,,,,61.000000,,,
2008-01-04,21,,,,49.000000,,,
2008-01-04,22,,,,69.000000,,,
2008-01-04,23,,,,53.000000,,,
2008-01-05,00,,,,43.000000,,,
2008-01-05,01,,,,51.000000,,,
2008-01-05,02,,,,31.000000,,,
2008-01-05,03,,,,30.000000,,,
2008-01-05,04,,,,21.000000,,,
2008-01-05,05,,,,32.000000,,,
2008-01-05,06,,,,38.000000,,,
2008-01-05,07,,,,37.000000,,,
2008-01-05,08,,,,41.000000,,,
2008-01-05,09,,,,36.000000,,,
2008-01-05,10,,,,23.000000,,,
2008-01-05,11,,,,22.000000,,,
2008-01-05,12,,,,19.000000,,,
2008-01-05,13,,,,13.000000,,,
2008-01-05,14,,,,8.000000,,,
2008-01-05,15,,,,31.000000,,,
2008-01-05,16,,,,37.000000,,,
2008-01-05,17,,,,61.000000,,,
2008-01-05,18,,,,98.000000,,,
2008-01-05,19,,,,111.000000,,,
2008-01-05,20,,,,103.000000,,,
2008-01-05,21,,,,103.000000,,,
2008-01-05,22,,,,70.000000,,,
2008-01-05,23,,,,45.000000,,,
2008-01-06,00,,,,38.000000,,,
2008-01-06,01,,,,37.000000,,,
2008-01-06,02,,,,53.000000,,,
2008-01-06,03,,,,40.000000,,,
2008-01-06,04,,,,41.000000,,,
2008-01-06,05,,,,50.000000,,,
2008-01-06,06,,,,54.000000,,,
2008-01-06,07,,,,55.000000,,,
2008-01-06,08,,,,61.000000,,,
2008-01-06,09,,,,78.000000,,,
2008-01-06,10,,,,52.000000,,,
2008-01-06,11,,,,32.000000,,,
2008-01-06,12,,,,13.000000,,,
2008-01-06,13,,,,12.000000,,,
2008-01-06,14,,,,9.000000,,,
2008-01-06,15,,,,8.000000,,,
2008-01-06,16,,,,10.000000,,,
2008-01-06,17,,,,23.000000,,,
2008-01-06,18,,,,46.000000,,,
2008-01-06,19,,,,48.000000,,,
2008-01-06,20,,,,46.000000,,,
2008-01-06,21,,,,53.000000,,,
2008-01-06,22,,,,46.000000,,,
2008-01-06,23,,,,44.000000,,,
2008-01-07,00,,,,26.000000,,,
2008-01-07,01,,,,20.000000,,,
2008-01-07,02,,,,28.000000,,,
2008-01-07,03,,,,35.000000,,,
2008-01-07,04,,,,31.000000,,,
2008-01-07,05,,,,38.000000,,,
2008-01-07,06,,,,45.000000,,,
2008-01-07,07,,,,49.000000,,,
2008-01-07,08,,,,55.000000,,,
2008-01-07,09,,,,61.000000,,,
2008-01-07,10,,,,27.000000,,,
2008-01-07,11,,,,27.000000,,,
2008-01-07,12,,,,18.000000,,,
2008-01-07,13,,,,15.000000,,,
2008-01-07,14,,,,10.000000,,,
2008-01-07,15,,,,10.000000,,,
2008-01-07,16,,,,10.000000,,,
2008-01-07,17,,,,15.000000,,,
2008-01-07,18,,,,35.000000,,,
2008-01-07,19,,,,41.000000,,,
2008-01-07,20,,,,36.000000,,,
2008-01-07,21,,,,34.000000,,,
2008-01-07,22,,,,39.000000,,,
2008-01-07,23,,,,42.000000,,,
2008-01-08,00,,,,36.000000,,,
2008-01-08,01,,,,32.000000,,,
2008-01-08,02,,,,30.000000,,,
2008-01-08,03,,,,33.000000,,,
2008-01-08,04,,,,38.000000,,,
2008-01-08,05,,,,37.000000,,,
