Fecha,Hora,AGU,ATM,CEN,LDO,MIR,OBL,TLA,VAL
2000-01-01,00,,,12.000000,15.000000,,,6.000000,
2000-01-01,01,,,15.000000,20.000000,,,6.000000,
2000-01-01,02,,,12.000000,17.000000,,,7.000000,
2000-01-01,03,,,8.000000,16.000000,,,5.000000,
2000-01-01,04,,,11.000000,17.000000,,,7.000000,
2000-01-01,05,,,15.000000,10.000000,,,10.000000,
2000-01-01,06,,,14.000000,14.000000,,,9.000000,
2000-01-01,07,,,15.000000,10.000000,,,10.000000,
2000-01-01,08,,,13.000000,11.000000,,,11.000000,
2000-01-01,09,,,20.000000,26.000000,,,11.000000,
2000-01-01,10,,,38.000000,36.000000,,,25.000000,
2000-01-01,11,,,56.000000,43.000000,,,37.000000,
2000-01-01,12,,,67.000000,52.000000,,,34.000000,
2000-01-01,13,,,73.000000,61.000000,,,39.000000,
2000-01-01,14,,,72.000000,69.000000,,,46.000000,
2000-01-01,15,,,71.000000,66.000000,,,42.000000,
2000-01-01,16,,,64.000000,54.000000,,,38.000000,
2000-01-01,17,,,53.000000,47.000000,,,33.000000,
2000-01-01,18,,,32.000000,26.000000,,,20.000000,
2000-01-01,19,16.000000,,8.000000,13.000000,,8.000000,3.000000,18.000000
2000-01-01,20,14.000000,,10.000000,5.000000,4.000000,,4.000000,15.000000
2000-01-01,21,14.000000,,10.000000,8.000000,7.000000,,3.000000,7.000000
2000-01-01,22,2.000000,,10.000000,5.000000,8.000000,,3.000000,8.000000
2000-01-01,23,,,10.000000,5.000000,5.000000,,3.000000,10.000000
2000-01-02,00,2.000000,,10.000000,10.000000,5.000000,,4.000000,5.000000
2000-01-02,01,1.000000,,10.000000,13.000000,5.000000,6.000000,4.000000,6.000000
2000-01-02,02,,,10.000000,13.000000,5.000000,9.000000,4.000000,6.000000
2000-01-02,03,,,10.000000,12.000000,5.000000,6.000000,4.000000,2.000000
2000-01-02,04,1.000000,,11.000000,15.000000,5.000000,,4.000000,2.000000
2000-01-02,05,1.000000,,12.000000,14.000000,5.000000,,4.000000,3.000000
2000-01-02,06,3.000000,,12.000000,10.000000,5.000000,,4.000000,2.000000
2000-01-02,07,3.000000,,13.000000,6.000000,5.000000,,5.000000,2.000000
2000-01-02,08,3.000000,,12.000000,7.000000,5.000000,,6.000000,4.000000
2000-01-02,09,7.000000,,18.000000,15.000000,10.000000,2.000000,10.000000,17.000000
2000-01-02,10,11.000000,,38.000000,36.000000,20.000000,17.000000,30.000000,28.000000
2000-01-02,11,8.000000,,54.000000,70.000000,32.000000,44.000000,35.000000,40.000000
2000-01-02,12,10.000000,23.000000,66.000000,76.000000,38.000000,47.000000,43.000000,39.000000
2000-01-02,13,9.000000,37.000000,51.000000,65.000000,32.000000,54.000000,43.000000,39.000000
2000-01-02,14,4.000000,57.000000,50.000000,66.000000,34.000000,39.000000,43.000000,39.000000
2000-01-02,15,6.000000,63.000000,62.000000,62.000000,30.000000,39.000000,41.000000,44.000000
2000-01-02,16,5.000000,64.000000,55.000000,56.000000,29.000000,37.000000,37.000000,41.000000
2000-01-02,17,7.000000,57.000000,46.000000,46.000000,28.000000,36.000000,33.000000,38.000000
2000-01-02,18,5.000000,24.000000,20.000000,10.000000,18.000000,16.000000,8.000000,19.000000
2000-01-02,19,3.000000,12.000000,11.000000,6.000000,9.000000,3.000000,4.000000,17.000000
2000-01-02,20,5.000000,7.000000,10.000000,5.000000,5.000000,,4.000000,10.000000
2000-01-02,21,1.000000,7.000000,9.000000,6.000000,5.000000,,5.000000,3.000000
