Concentraciones horarias para O3 red GDL 2004

Fecha,Hora,AGU,ATM,CEN,LDO,MIR,TLA,VAL
2004-01-01,1,17.000000,12.000000,14.000000,7.000000,7.000000,5.000000,16.000000
2004-01-01,2,10.000000,11.000000,13.000000,7.000000,7.000000,5.000000,10.000000
2004-01-01,3,9.000000,13.000000,14.000000,12.000000,7.000000,5.000000,9.000000
2004-01-01,4,9.000000,11.000000,12.000000,12.000000,6.000000,6.000000,13.000000
2004-01-01,5,9.000000,8.000000,14.000000,7.000000,7.000000,5.000000,12.000000
2004-01-01,6,9.000000,9.000000,12.000000,7.000000,7.000000,5.000000,22.000000
2004-01-01,7,9.000000,8.000000,12.000000,6.000000,6.000000,5.000000,11.000000
2004-01-01,8,9.000000,7.000000,13.000000,8.000000,6.000000,5.000000,3.000000
2004-01-01,9,9.000000,6.000000,12.000000,10.000000,6.000000,6.000000,4.000000
2004-01-01,10,14.000000,8.000000,18.000000,12.000000,10.000000,6.000000,10.000000
2004-01-01,11,27.000000,18.000000,29.000000,19.000000,20.000000,12.000000,26.000000
2004-01-01,12,37.000000,27.000000,39.000000,24.000000,26.000000,18.000000,37.000000
2004-01-01,13,46.000000,31.000000,40.000000,27.000000,32.000000,21.000000,39.000000
2004-01-01,14,48.000000,34.000000,45.000000,29.000000,35.000000,23.000000,41.000000
2004-01-01,15,48.000000,36.000000,51.000000,31.000000,38.000000,24.000000,40.000000
2004-01-01,16,50.000000,36.000000,54.000000,37.000000,41.000000,25.000000,40.000000
2004-01-01,17,51.000000,37.000000,49.000000,29.000000,42.000000,30.000000,41.000000
2004-01-01,18,42.000000,34.000000,41.000000,22.000000,32.000000,21.000000,38.000000
2004-01-01,19,25.000000,12.000000,24.000000,12.000000,18.000000,10.000000,28.000000
2004-01-01,20,20.000000,21.000000,21.000000,5.000000,9.000000,7.000000,26.000000
2004-01-01,21,23.000000,12.000000,21.000000,6.000000,9.000000,8.000000,22.000000
2004-01-01,22,25.000000,9.000000,14.000000,5.000000,11.000000,5.000000,19.000000
2004-01-01,23,22.000000,8.000000,12.000000,5.000000,8.000000,5.000000,16.000000
2004-01-01,24,15.000000,11.000000,13.000000,4.000000,6.000000,5.000000,23.000000
2004-01-02,1,12.000000,12.000000,14.000000,4.000000,6.000000,5.000000,19.000000
2004-01-02,2,11.000000,13.000000,13.000000,5.000000,6.000000,5.000000,15.000000
2004-01-02,3,18.000000,23.000000,13.000000,7.000000,6.000000,5.000000,22.000000
2004-01-02,4,14.000000,23.000000,12.000000,11.000000,6.000000,5.000000,23.000000
2004-01-02,5,12.000000,22.000000,13.000000,15.000000,6.000000,5.000000,21.000000
2004-01-02,6,10.000000,14.000000,12.000000,10.000000,6.000000,5.000000,18.000000
2004-01-02,7,8.000000,8.000000,12.000000,4.000000,6.000000,5.000000,15.000000
2004-01-02,8,8.000000,7.000000,13.000000,6.000000,6.000000,5.000000,8.000000
2004-01-02,9,8.000000,7.000000,12.000000,6.000000,6.000000,5.000000,3.000000
2004-01-02,10,8.000000,8.000000,12.000000,7.000000,7.000000,5.000000,5.000000
2004-01-02,11,9.000000,14.000000,16.000000,9.000000,9.000000,7.000000,9.000000
2004-01-02,12,13.000000,19.000000,22.000000,12.000000,12.000000,10.000000,14.000000
2004-01-02,13,21.000000,24.000000,28.000000,18.000000,16.000000,12.000000,22.000000
2004-01-02,14,28.000000,27.000000,34.000000,24.000000,25.000000,15.000000,27.000000
2004-01-02,15,42.000000,35.000000,43.000000,28.000000,35.000000,20.000000,36.000000
