Concentraciones horarias para O3 red GDL 2008

Fecha,Hora,AGU,ATM,CEN,LDO,MIR,OBL,TLA,VAL
2008-01-01,1,,,3.000000,,10.000000,3.000000,4.000000,6.000000
2008-01-01,2,,,4.000000,,7.000000,3.000000,4.000000,5.000000
2008-01-01,3,,,4.000000,,15.000000,4.000000,4.000000,5.000000
2008-01-01,4,,,2.000000,,15.000000,3.000000,5.000000,6.000000
2008-01-01,5,,,2.000000,2.000000,7.000000,3.000000,5.000000,6.000000
2008-01-01,6,,,3.000000,1.000000,8.000000,3.000000,5.000000,5.000000
2008-01-01,7,,,3.000000,,4.000000,3.000000,5.000000,5.000000
2008-01-01,8,,,3.000000,2.000000,6.000000,3.000000,5.000000,5.000000
2008-01-01,9,,,2.000000,4.000000,4.000000,9.000000,5.000000,6.000000
2008-01-01,10,4.000000,7.000000,7.000000,17.000000,7.000000,21.000000,5.000000,13.000000
2008-01-01,11,18.000000,22.000000,20.000000,31.000000,21.000000,32.000000,23.000000,22.000000
2008-01-01,12,28.000000,25.000000,30.000000,40.000000,32.000000,41.000000,37.000000,24.000000
2008-01-01,13,35.000000,27.000000,38.000000,43.000000,41.000000,45.000000,43.000000,27.000000
2008-01-01,14,31.000000,25.000000,35.000000,37.000000,42.000000,41.000000,41.000000,26.000000
2008-01-01,15,25.000000,21.000000,34.000000,41.000000,44.000000,39.000000,42.000000,25.000000
2008-01-01,16,26.000000,21.000000,36.000000,39.000000,47.000000,40.000000,43.000000,25.000000
2008-01-01,17,27.000000,20.000000,34.000000,36.000000,46.000000,38.000000,43.000000,24.000000
2008-01-01,18,21.000000,18.000000,30.000000,27.000000,42.000000,37.000000,40.000000,22.000000
2008-01-01,19,8.000000,9.000000,22.000000,6.000000,24.000000,31.000000,24.000000,17.000000
2008-01-01,20,,5.000000,17.000000,7.000000,19.000000,29.000000,19.000000,13.000000
2008-01-01,21,2.000000,8.000000,18.000000,16.000000,22.000000,27.000000,22.000000,16.000000
2008-01-01,22,3.000000,10.000000,19.000000,15.000000,17.000000,25.000000,22.000000,16.000000
2008-01-01,23,5.000000,10.000000,19.000000,22.000000,20.000000,27.000000,25.000000,16.000000
2008-01-01,24,7.000000,11.000000,22.000000,28.000000,22.000000,32.000000,29.000000,17.000000
2008-01-02,1,11.000000,13.000000,24.000000,33.000000,29.000000,36.000000,33.000000,18.000000
2008-01-02,2,15.000000,15.000000,26.000000,39.000000,33.000000,37.000000,36.000000,18.000000
2008-01-02,3,15.000000,15.000000,26.000000,40.000000,34.000000,37.000000,37.000000,19.000000
2008-01-02,4,14.000000,16.000000,26.000000,41.000000,32.000000,38.000000,36.000000,19.000000
2008-01-02,5,15.000000,16.000000,27.000000,40.000000,33.000000,38.000000,37.000000,19.000000
2008-01-02,6,14.000000,13.000000,27.000000,32.000000,28.000000,37.000000,37.000000,19.000000
2008-01-02,7,4.000000,12.000000,27.000000,28.000000,19.000000,35.000000,33.000000,18.000000
2008-01-02,8,,9.000000,20.000000,24.000000,15.000000,34.000000,23.000000,15.000000
2008-01-02,9,,10.000000,21.000000,21.000000,17.000000,31.000000,24.000000,15.000000
2008-01-02,10,4.000000,13.000000,24.000000,30.000000,28.000000,31.000000,32.000000,18.000000
2008-01-02,11,10.000000,16.000000,28.000000,34.000000,35.000000,34.000000,36.000000,20.000000
2008-01-02,12,14.000000,19.000000,30.000000,38.000000,40.000000,38.000000,39.000000,21.000000
2008-01-02,13,19.000000,20.000000,32.000000,42.000000,43.000000,41.000000,42.000000,22.000000
2008-01-02,14,20.000000,21.000000,35.000000,49.000000,48.000000,42.000000,46.000000,23.000000
2008-01-02,15,24.000000,22.000000,37.000000,49.000000,50.000000,44.000000,46.000000,24.000000
2008-01-02,16,23.000000,22.000000,35.000000,47.000000,48.000000,42.000000,45.000000,25.000000
2008-01-02,17,21.000000,20.000000,35.000000,45.000000,43.000000,41.000000,44.000000,23.000000
2008-01-02,18,19.000000,19.000000,31.000000,40.000000,42.000000,36.000000,42.000000,21.000000
2008-01-02,19,6.000000,13.000000,25.000000,17.000000,32.000000,26.000000,28.000000,16.000000
2008-01-02,20,,11.000000,20.000000,10.000000,17.000000,22.000000,18.000000,11.000000
2008-01-02,21,,8.000000,14.000000,17.000000,11.000000,24.000000,15.000000,13.000000
2008-01-02,22,1.000000,7.000000,19.000000,24.000000,20.000000,27.000000,21.000000,14.000000
2008-01-02,23,1.000000,12.000000,21.000000,30.000000,27.000000,28.000000,28.000000,15.000000
2008-01-02,24,3.000000,16.000000,18.000000,30.000000,30.000000,33.000000,31.000000,18.000000
2008-01-03,1,10.000000,18.000000,25.000000,39.000000,33.000000,36.000000,34.000000,19.000000
2008-01-03,2,13.000000,17.000000,26.000000,42.000000,31.000000,38.000000,35.000000,19.000000
2008-01-03,3,15.000000,17.000000,26.000000,44.000000,30.000000,38.000000,35.000000,18.000000
2008-01-03,4,14.000000,16.000000,26.000000,46.000000,30.000000,38.000000,36.000000,20.000000
2008-01-03,5,11.000000,15.000000,26.000000,39.000000,26.000000,36.000000,36.000000,19.000000
2008-01-03,6,8.000000,10.000000,24.000000,29.000000,17.000000,27.000000,34.000000,18.000000
2008-01-03,7,6.000000,4.000000,17.000000,22.000000,12.000000,18.000000,25.000000,18.000000
2008-01-03,8,,3.000000,9.000000,8.000000,7.000000,11.000000,15.000000,11.000000
