Fecha,Hora,AGU,ATM,LDO,MIR,OBL,PIN,TLA,VAL
2012-01-01,00,12.000000,72.000000,244.000000,122.000000,102.000000,133.000000,196.000000,13.000000
2012-01-01,01,15.000000,204.000000,244.000000,173.000000,151.000000,115.000000,258.000000,14.000000
2012-01-01,02,28.000000,141.000000,107.000000,191.000000,166.000000,291.000000,330.000000,16.000000
2012-01-01,03,32.000000,71.000000,146.000000,155.000000,185.000000,290.000000,341.000000,36.000000
2012-01-01,04,29.000000,123.000000,251.000000,187.000000,105.000000,402.000000,173.000000,47.000000
2012-01-01,05,20.000000,81.000000,266.000000,254.000000,126.000000,485.000000,207.000000,54.000000
2012-01-01,06,15.000000,87.000000,127.000000,381.000000,113.000000,398.000000,223.000000,54.000000
2012-01-01,07,18.000000,79.000000,49.000000,272.000000,115.000000,280.000000,110.000000,44.000000
2012-01-01,08,22.000000,79.000000,118.000000,202.000000,72.000000,407.000000,107.000000,47.000000
2012-01-01,09,22.000000,86.000000,110.000000,258.000000,102.000000,317.000000,119.000000,28.000000
2012-01-01,10,17.000000,64.000000,62.000000,62.000000,96.000000,140.000000,47.000000,21.000000
2012-01-01,11,16.000000,63.000000,56.000000,30.000000,64.000000,52.000000,47.000000,17.000000
2012-01-01,12,13.000000,43.000000,49.000000,22.000000,61.000000,32.000000,34.000000,16.000000
2012-01-01,13,11.000000,37.000000,63.000000,28.000000,58.000000,28.000000,32.000000,12.000000
2012-01-01,14,12.000000,33.000000,64.000000,34.000000,54.000000,47.000000,37.000000,14.000000
2012-01-01,15,13.000000,41.000000,55.000000,31.000000,80.000000,32.000000,32.000000,14.000000
2012-01-01,16,17.000000,48.000000,64.000000,53.000000,109.000000,43.000000,59.000000,17.000000
2012-01-01,17,11.000000,58.000000,78.000000,46.000000,87.000000,52.000000,58.000000,19.000000
2012-01-01,18,14.000000,79.000000,63.000000,93.000000,130.000000,106.000000,94.000000,25.000000
2012-01-01,19,18.000000,97.000000,84.000000,184.000000,137.000000,153.000000,110.000000,26.000000
2012-01-01,20,30.000000,61.000000,130.000000,122.000000,315.000000,184.000000,95.000000,32.000000
2012-01-01,21,32.000000,129.000000,241.000000,121.000000,199.000000,145.000000,164.000000,41.000000
2012-01-01,22,26.000000,95.000000,133.000000,80.000000,133.000000,89.000000,96.000000,32.000000
2012-01-01,23,16.000000,57.000000,73.000000,37.000000,80.000000,63.000000,49.000000,19.000000
2012-01-02,00,12.000000,48.000000,56.000000,25.000000,66.000000,49.000000,36.000000,17.000000
2012-01-02,01,11.000000,38.000000,38.000000,25.000000,59.000000,35.000000,30.000000,15.000000
2012-01-02,02,11.000000,34.000000,36.000000,26.000000,54.000000,36.000000,28.000000,14.000000
2012-01-02,03,10.000000,28.000000,37.000000,29.000000,48.000000,34.000000,27.000000,11.000000
2012-01-02,04,10.000000,26.000000,36.000000,25.000000,48.000000,33.000000,25.000000,11.000000
2012-01-02,05,11.000000,30.000000,40.000000,30.000000,49.000000,27.000000,31.000000,11.000000
2012-01-02,06,13.000000,28.000000,39.000000,38.000000,49.000000,29.000000,37.000000,11.000000
2012-01-02,07,15.000000,51.000000,36.000000,62.000000,71.000000,43.000000,41.000000,14.000000
2012-01-02,08,16.000000,42.000000,49.000000,66.000000,60.000000,65.000000,39.000000,14.000000
2012-01-02,09,16.000000,29.000000,9.000000,54.000000,59.000000,70.000000,41.000000,12.000000
2012-01-02,10,12.000000,24.000000,47.000000,41.000000,31.000000,79.000000,33.000000,7.000000
2012-01-02,11,12.000000,40.000000,51.000000,43.000000,39.000000,90.000000,36.000000,7.000000
2012-01-02,12,18.000000,35.000000,62.000000,52.000000,32.000000,57.000000,52.000000,8.000000
2012-01-02,13,16.000000,52.000000,72.000000,53.000000,92.000000,85.000000,39.000000,10.000000
2012-01-02,14,16.000000,80.000000,72.000000,54.000000,88.000000,93.000000,44.000000,11.000000
2012-01-02,15,16.000000,71.000000,61.000000,41.000000,55.000000,70.000000,44.000000,12.000000
2012-01-02,16,11.000000,42.000000,56.000000,51.000000,43.000000,74.000000,36.000000,9.000000
2012-01-02,17,10.000000,49.000000,61.000000,51.000000,66.000000,82.000000,43.000000,11.000000
2012-01-02,18,13.000000,49.000000,68.000000,58.000000,84.000000,98.000000,64.000000,14.000000
2012-01-02,19,15.000000,51.000000,74.000000,67.000000,66.000000,157.000000,74.000000,16.000000
2012-01-02,20,17.000000,127.000000,83.000000,94.000000,182.000000,132.000000,107.000000,29.000000
2012-01-02,21,24.000000,108.000000,86.000000,123.000000,283.000000,118.000000,133.000000,27.000000
2012-01-02,22,14.000000,72.000000,60.000000,41.000000,90.000000,56.000000,41.000000,15.000000
2012-01-02,23,9.000000,54.000000,40.000000,28.000000,54.000000,35.000000,35.000000,13.000000
2012-01-03,00,7.000000,31.000000,27.000000,21.000000,30.000000,25.000000,19.000000,9.000000
2012-01-03,01,6.000000,15.000000,20.000000,19.000000,22.000000,19.000000,12.000000,6.000000
2012-01-03,02,5.000000,12.000000,15.000000,14.000000,15.000000,17.000000,11.000000,4.000000
2012-01-03,03,6.000000,9.000000,14.000000,16.000000,13.000000,12.000000,8.000000,3.000000
2012-01-03,04,6.000000,7.000000,12.000000,15.000000,11.000000,10.000000,9.000000,4.000000
2012-01-03,05,6.000000,9.000000,19.000000,19.000000,22.000000,16.000000,13.000000,4.000000
2012-01-03,06,6.000000,15.000000,21.000000,27.000000,43.000000,14.000000,13.000000,5.000000
2012-01-03,07,8.000000,28.000000,35.000000,44.000000,52.000000,41.000000,25.000000,9.000000
2012-01-03,08,9.000000,32.000000,64.000000,52.000000,69.000000,49.000000,31.000000,12.000000
2012-01-03,09,10.000000,24.000000,61.000000,50.000000,52.000000,62.000000,31.000000,11.000000
2012-01-03,10,12.000000,24.000000,47.000000,39.000000,33.000000,50.000000,39.000000,8.000000
2012-01-03,11,13.000000,22.000000,41.000000,32.000000,16.000000,35.000000,32.000000,8.000000
2012-01-03,12,12.000000,26.000000,40.000000,33.000000,35.000000,47.000000,30.000000,11.000000
2012-01-03,13,10.000000,25.000000,41.000000,38.000000,44.000000,67.000000,37.000000,13.000000
2012-01-03,14,12.000000,25.000000,57.000000,45.000000,42.000000,67.000000,41.000000,9.000000
2012-01-03,15,11.000000,23.000000,52.000000,42.000000,38.000000,64.000000,40.000000,10.000000
2012-01-03,16,9.000000,28.000000,57.000000,40.000000,58.000000,75.000000,37.000000,12.000000
2012-01-03,17,5.000000,33.000000,56.000000,41.000000,78.000000,102.000000,37.000000,12.000000
2012-01-03,18,11.000000,77.000000,132.000000,116.000000,144.000000,207.000000,70.000000,15.000000
2012-01-03,19,24.000000,150.000000,137.000000,188.000000,107.000000,163.000000,135.000000,22.000000
2012-01-03,20,32.000000,140.000000,87.000000,154.000000,189.000000,151.000000,107.000000,38.000000
2012-01-03,21,32.000000,127.000000,65.000000,110.000000,179.000000,202.000000,85.000000,51.000000
2012-01-03,22,30.000000,118.000000,57.000000,149.000000,177.000000,332.000000,85.000000,47.000000
2012-01-03,23,17.000000,108.000000,124.000000,126.000000,152.000000,259.000000,87.000000,40.000000
2012-01-04,00,18.000000,79.000000,92.000000,97.000000,103.000000,216.000000,147.000000,31.000000
2012-01-04,01,15.000000,22.000000,38.000000,87.000000,42.000000,139.000000,63.000000,6.000000
