Fecha,Hora,AGU,ATM,CEN,LDO,MIR,TLA,VAL
2004-01-01,00,12.000000,15.000000,15.000000,11.000000,40.000000,9.000000,8.000000
2004-01-01,01,14.000000,18.000000,23.000000,12.000000,16.000000,10.000000,8.000000
2004-01-01,02,16.000000,21.000000,19.000000,17.000000,18.000000,13.000000,8.000000
2004-01-01,03,19.000000,21.000000,20.000000,17.000000,17.000000,13.000000,7.000000
2004-01-01,04,14.000000,18.000000,18.000000,10.000000,15.000000,11.000000,7.000000
2004-01-01,05,12.000000,16.000000,13.000000,7.000000,12.000000,10.000000,7.000000
2004-01-01,06,13.000000,16.000000,14.000000,7.000000,10.000000,9.000000,7.000000
2004-01-01,07,12.000000,15.000000,15.000000,6.000000,10.000000,8.000000,8.000000
2004-01-01,08,11.000000,14.000000,13.000000,6.000000,8.000000,6.000000,10.000000
2004-01-01,09,12.000000,14.000000,12.000000,6.000000,7.000000,7.000000,9.000000
2004-01-01,10,13.000000,14.000000,12.000000,7.000000,7.000000,7.000000,8.000000
2004-01-01,11,13.000000,13.000000,12.000000,7.000000,7.000000,6.000000,8.000000
2004-01-01,12,12.000000,12.000000,10.000000,6.000000,7.000000,6.000000,7.000000
2004-01-01,13,11.000000,12.000000,11.000000,5.000000,7.000000,5.000000,6.000000
2004-01-01,14,11.000000,11.000000,11.000000,5.000000,6.000000,4.000000,7.000000
2004-01-01,15,11.000000,11.000000,11.000000,5.000000,6.000000,5.000000,7.000000
2004-01-01,16,10.000000,11.000000,10.000000,5.000000,7.000000,5.000000,6.000000
2004-01-01,17,10.000000,11.000000,10.000000,6.000000,8.000000,5.000000,7.000000
2004-01-01,18,11.000000,13.000000,11.000000,7.000000,7.000000,6.000000,7.000000
2004-01-01,19,10.000000,12.000000,11.000000,8.000000,7.000000,8.000000,7.000000
2004-01-01,20,10.000000,13.000000,10.000000,7.000000,7.000000,8.000000,7.000000
2004-01-01,21,10.000000,14.000000,11.000000,6.000000,7.000000,7.000000,7.000000
2004-01-01,22,10.000000,13.000000,13.000000,11.000000,8.000000,9.000000,7.000000
2004-01-01,23,10.000000,12.000000,11.000000,8.000000,7.000000,8.000000,6.000000
2004-01-02,00,11.000000,12.000000,10.000000,8.000000,23.000000,7.000000,6.000000
2004-01-02,01,10.000000,11.000000,9.000000,5.000000,12.000000,7.000000,6.000000
2004-01-02,02,10.000000,11.000000,10.000000,5.000000,10.000000,6.000000,5.000000
2004-01-02,03,10.000000,11.000000,9.000000,5.000000,9.000000,6.000000,5.000000
2004-01-02,04,11.000000,11.000000,9.000000,4.000000,10.000000,6.000000,6.000000
2004-01-02,05,10.000000,11.000000,11.000000,4.000000,9.000000,6.000000,6.000000
2004-01-02,06,11.000000,12.000000,12.000000,11.000000,10.000000,7.000000,6.000000
2004-01-02,07,17.000000,15.000000,11.000000,11.000000,10.000000,8.000000,6.000000
2004-01-02,08,22.000000,16.000000,11.000000,8.000000,8.000000,8.000000,19.000000
2004-01-02,09,18.000000,14.000000,11.000000,13.000000,10.000000,8.000000,12.000000
2004-01-02,10,19.000000,13.000000,10.000000,15.000000,28.000000,7.000000,9.000000
2004-01-02,11,18.000000,13.000000,11.000000,15.000000,21.000000,7.000000,9.000000
2004-01-02,12,18.000000,14.000000,12.000000,13.000000,23.000000,8.000000,8.000000
2004-01-02,13,17.000000,15.000000,13.000000,14.000000,15.000000,8.000000,10.000000
2004-01-02,14,16.000000,14.000000,13.000000,16.000000,11.000000,8.000000,9.000000
2004-01-02,15,16.000000,15.000000,13.000000,15.000000,11.000000,8.000000,10.000000
2004-01-02,16,16.000000,15.000000,13.000000,6.000000,11.000000,9.000000,10.000000
2004-01-02,17,16.000000,15.000000,13.000000,9.000000,12.000000,9.000000,10.000000
2004-01-02,18,16.000000,17.000000,14.000000,11.000000,13.000000,11.000000,11.000000
2004-01-02,19,14.000000,22.000000,17.000000,12.000000,17.000000,13.000000,11.000000
2004-01-02,20,13.000000,25.000000,19.000000,11.000000,16.000000,15.000000,9.000000
2004-01-02,21,13.000000,23.000000,21.000000,12.000000,13.000000,17.000000,9.000000
2004-01-02,22,12.000000,20.000000,34.000000,15.000000,12.000000,19.000000,9.000000
